optimized_file,url_path,suggested_menu_name,source_file_used,source_index_first_seen,duplicate_source_count,source_width,source_height,source_kb,optimized_kb,optimized_width,optimized_height
kingfish-nigiri.webp,/assets/menu-photos/kingfish-nigiri.webp,Kingfish Nigiri,Image_20260625202644_178_273.jpg,1,3,4032,3024,2405.3,46.6,1200,800
pork-gyoza.webp,/assets/menu-photos/pork-gyoza.webp,Pork Gyoza,Image_20260625202647_179_273.jpg,3,2,4032,3024,3071.2,53.7,1200,800
miso-soup.webp,/assets/menu-photos/miso-soup.webp,Miso Soup,Image_20260625202651_180_273.jpg,4,2,3024,4032,2120.0,53.5,1200,800
california-roll.webp,/assets/menu-photos/california-roll.webp,California Roll,Image_20260625202654_181_273.jpg,5,2,4032,3024,2492.5,70.3,1200,800
salmon-maki.webp,/assets/menu-photos/salmon-maki.webp,Salmon Maki,Image_20260625202712_182_273.jpg,6,4,4032,3024,2483.2,63.8,1200,800
cucumber-maki.webp,/assets/menu-photos/cucumber-maki.webp,Cucumber Maki,Image_20260625202736_183_273.jpg,7,2,4032,3024,2911.2,27.0,1200,800
tofu-avocado-salad.webp,/assets/menu-photos/tofu-avocado-salad.webp,Tofu Avocado Salad,Image_20260625202739_184_273.jpg,8,4,3024,4032,2890.1,118.1,1200,800
sashimi-platter.webp,/assets/menu-photos/sashimi-platter.webp,Sashimi Platter,Image_20260625202741_185_273.jpg,9,2,3024,4032,4559.2,138.5,1200,800
salmon-salad.webp,/assets/menu-photos/salmon-salad.webp,Salmon Salad,Image_20260625202744_186_273.jpg,10,2,3024,4032,3312.8,166.6,1200,800
kimchi.webp,/assets/menu-photos/kimchi.webp,Kimchi,Image_20260625202746_187_273.jpg,11,2,4032,3024,2294.8,41.5,1200,800
seaweed-salad.webp,/assets/menu-photos/seaweed-salad.webp,Seaweed Salad,Image_20260625202748_188_273.jpg,12,2,3024,4032,2467.8,65.9,1200,800
salmon-nigiri.webp,/assets/menu-photos/salmon-nigiri.webp,Salmon Nigiri,Image_20260625202751_189_273.jpg,13,2,4032,3024,2721.8,35.3,1200,800
katsu-chicken.webp,/assets/menu-photos/katsu-chicken.webp,Katsu Chicken,Image_20260625202753_190_273.jpg,14,2,3024,4032,3392.9,101.7,1200,800
pork-gyoza-2.webp,/assets/menu-photos/pork-gyoza-2.webp,Pork Gyoza,Image_20260625202801_191_273.jpg,15,2,4032,3024,2949.1,56.1,1200,800
pork-gyoza-3.webp,/assets/menu-photos/pork-gyoza-3.webp,Pork Gyoza,Image_20260625202804_192_273.jpg,16,2,4032,3024,3082.3,63.9,1200,800
salmon-salad-2.webp,/assets/menu-photos/salmon-salad-2.webp,Salmon Salad,Image_20260625202806_193_273.jpg,17,2,3024,4032,2625.0,91.9,1200,800
pork-gyoza-4.webp,/assets/menu-photos/pork-gyoza-4.webp,Pork Gyoza,Image_20260625202809_194_273.jpg,18,2,4032,3024,2660.3,76.4,1200,800
nigiri-platter.webp,/assets/menu-photos/nigiri-platter.webp,Nigiri Platter,Image_20260625202812_195_273.jpg,19,2,4032,3024,3256.6,114.8,1200,800
karaage-chicken.webp,/assets/menu-photos/karaage-chicken.webp,Karaage Chicken,Image_20260625202814_196_273.jpg,20,6,4032,3024,3143.6,120.5,1200,800
mixed-sashimi.webp,/assets/menu-photos/mixed-sashimi.webp,Mixed Sashimi,Image_20260625202817_197_273.jpg,21,2,4032,3024,3068.5,93.8,1200,800
pork-bun.webp,/assets/menu-photos/pork-bun.webp,Pork Bun,Image_20260625202933_227_273.jpg,22,5,4032,3024,3232.6,86.9,1200,800
edamame.webp,/assets/menu-photos/edamame.webp,Edamame,Image_20260625202822_199_273.jpg,23,2,4032,3024,2338.8,53.8,1200,800
spicy-edamame.webp,/assets/menu-photos/spicy-edamame.webp,Spicy Edamame,Image_20260625202824_200_273.jpg,24,4,4032,3024,2084.6,65.8,1200,800
